area,baths,beds,City,Zipcode,Price,Age
1930.0,2.0,2.0,Seattle,98103,855000,40
1656.0,3.0,3.0,Seattle,98103,1080000,32
2130.0,1.0,2.0,Seattle,98103,840000,30
2254.0,,,Seattle,98103,990000,59
3170.0,2.0,4.0,Seattle,98103,1767000,33
1320.0,2.0,3.0,Seattle,98103,621000,44
3200.0,3.0,3.0,Seattle,98136,1175000,57
1550.0,2.0,2.0,Seattle,98136,925000,33
1124.0,2.0,2.0,Seattle,98136,593000,51
720.0,1.0,2.0,Seattle,98136,627926,40
1720.0,3.0,4.0,Seattle,98136,1287000,41
3224.0,3.0,4.0,Seattle,98136,1855000,46
1510.0,0.0,0.0,Seattle,98136,462500,48
1300.0,2.0,2.0,Seattle,98136,710000,47
3360.0,3.0,4.0,Seattle,98136,1575000,49
1940.0,2.0,3.0,Seattle,98136,1100000,35
1688.0,3.0,3.0,Seattle,98136,875000,49
1566.0,3.0,3.0,Seattle,98136,875000,58
1640.0,3.0,3.0,Seattle,98136,694000,50
1640.0,3.0,3.0,Seattle,98136,694000,43
1900.0,4.0,3.0,Seattle,98136,840000,45
1780.0,4.0,3.0,Seattle,98136,840000,56
1270.0,2.0,3.0,Seattle,98136,700000,47
1554.0,3.0,3.0,Seattle,98136,815000,46
1484.0,3.0,3.0,Seattle,98136,725000,38
2500.0,2.0,3.0,Seattle,98136,1160000,31
1410.0,1.0,2.0,Seattle,98136,876000,40
1890.0,2.0,4.0,Seattle,98136,1010000,52
3120.0,3.0,5.0,Seattle,98136,1571000,46
2220.0,4.0,3.0,Seattle,98136,1132400,43
1230.0,2.0,3.0,Seattle,98136,655000,48
1128.0,2.0,2.0,Seattle,98136,460000,45
686.0,1.0,1.0,Seattle,98136,348500,60
5010.0,5.0,5.0,Seattle,98136,6500000,46
1520.0,2.0,3.0,Seattle,98136,1033000,44
1443.0,3.0,2.0,Seattle,98136,725000,45
5530.0,5.0,4.0,Seattle,98136,3750000,45
1000.0,3.0,3.0,Seattle,98136,685000,53
1210.0,3.0,3.0,Seattle,98136,685000,55
2640.0,2.0,4.0,Seattle,98136,1200000,32
1232.0,2.0,2.0,Seattle,98136,550000,44
2650.0,2.0,5.0,Seattle,98136,1325000,44
1930.0,1.0,4.0,Seattle,98136,1012500,56
1010.0,2.0,2.0,Seattle,98136,550000,44
2365.0,2.0,3.0,Seattle,98136,1455000,45
1920.0,1.0,3.0,Seattle,98136,619950,37
1025.0,2.0,2.0,Seattle,98109,592000,50
1667.0,3.5,3.0,Seattle,98109,935000,33
1665.0,4.0,3.0,Seattle,98109,935000,58
2840.0,4.0,5.0,Seattle,98109,1895000,48
9970.0,10.0,5.0,Seattle,98109,5000000,38
3240.0,3.0,5.0,Seattle,98109,1800000,34
1019.0,1.0,2.0,Seattle,98109,797500,33
450.0,1.0,1.0,Seattle,98109,275000,55
800.0,1.0,1.0,Seattle,98109,395000,47
1690.0,3.0,3.0,Seattle,98109,1250000,39
2141.0,4.0,4.0,Seattle,98109,300000,34
